"time","amplitude"
9.21, -0.00897027
9.22, -0.00892245
9.23, -0.00885169
9.24, -0.00876489
9.25, -0.00866892
9.26, -0.00852843
9.27, -0.00832406
9.28, -0.0080812
9.29, -0.00782525
9.30, -0.00758161
9.31, -0.00734803
9.32, -0.00710796
9.33, -0.00686245
9.34, -0.00661256
9.35, -0.00635934
9.36, -0.00610078
9.37, -0.00583616
9.38, -0.00556805
9.39, -0.00529902
9.40, -0.00503163
9.41, -0.00475939
9.42, -0.00448106
9.43, -0.00420589
9.44, -0.00394311
9.45, -0.00370191
9.46, -0.00348299
9.47, -0.00327836
9.48, -0.0030836
9.49, -0.00289424
9.50, -0.00270586
9.51, -0.00252001
9.52, -0.00233927
9.53, -0.00216136
9.54, -0.00198401
9.55, -0.00180494
9.56, -0.00159419
9.57, -0.00135524
9.58, -0.0011316
9.59, -0.00096678
9.60, -0.000904274
9.61, -0.000923407
9.62, -0.000975104
9.63, -0.00105335
9.64, -0.00115215
9.65, -0.00126551
9.66, -0.00146624
9.67, -0.001789
9.68, -0.00218142
9.69, -0.00259113
9.70, -0.0029658
9.71, -0.00330501
9.72, -0.00364255
9.73, -0.00398256
9.74, -0.00432919
9.75, -0.00468655
9.76, -0.00507426
9.77, -0.00548878
9.78, -0.00590225
9.79, -0.00628678
9.80, -0.00661453
9.81, -0.00692403
9.82, -0.00723811
9.83, -0.00751415
9.84, -0.00770954
9.85, -0.0077817
9.86, -0.00777013
9.87, -0.00773945
9.88, -0.00769408
9.89, -0.00763844
9.90, -0.00757697
9.91, -0.00749118
9.92, -0.00736851
9.93, -0.00721924
9.94, -0.00705363
9.95, -0.00688193
9.96, -0.00669799
9.97, -0.00649141
9.98, -0.00626423
9.99, -0.0060185
10.00, -0.00575628
10.01, -0.00546757
10.02, -0.00514719
10.03, -0.00480267
10.04, -0.00444152
10.05, -0.00407125
10.06, -0.00368166
10.07, -0.00326689
10.08, -0.00283858
10.09, -0.00240837
10.10, -0.00198789
10.11, -0.00156442
10.12, -0.00113135
10.13, -0.000706194
10.14, -0.000306472
10.15, 5.03339e-05
10.16, 0.000401306
10.17, 0.0007601
10.18, 0.00108185
10.19, 0.00132169
10.20, 0.00143481
10.21, 0.00147025
10.22, 0.00149897
10.23, 0.00152029
10.24, 0.00153349
10.25, 0.00153787
10.26, 0.00147336
10.27, 0.00131182
10.28, 0.00109162
10.29, 0.000851182
10.30, 0.000628863
10.31, 0.000409897
10.32, 0.00016955
10.33, -7.53162e-05
10.34, -0.000307839
10.35, -0.000511169
10.36, -0.000696629
10.37, -0.000877153
10.38, -0.00104192
10.39, -0.00118011
10.40, -0.00128091
10.41, -0.00135358
10.42, -0.00141445
10.43, -0.0014657
10.44, -0.00150953
10.45, -0.00154813
10.46, -0.00158315
10.47, -0.00161472
10.48, -0.00164273
10.49, -0.00166707
10.50, -0.00168761
10.51, -0.00170444
10.52, -0.00171859
10.53, -0.00173133
10.54, -0.00174395
10.55, -0.00175773
10.56, -0.00177135
10.57, -0.0017841
10.58, -0.0017978
10.59, -0.0018143
10.60, -0.00183542
10.61, -0.001869
10.62, -0.00191735
10.63, -0.00197505
10.64, -0.00203663
10.65, -0.00209666
10.66, -0.00216347
10.67, -0.00224019
10.68, -0.00231564
10.69, -0.00237863
10.70, -0.00241797
10.71, -0.002438
10.72, -0.00245183
10.73, -0.00246325
10.74, -0.00247606
10.75, -0.00249403
10.76, -0.0025185
10.77, -0.00254884
10.78, -0.0025856
10.79, -0.00262934
10.80, -0.00268062
10.81, -0.00275066
10.82, -0.00284509
10.83, -0.0029577
10.84, -0.00308229
10.85, -0.00321265
10.86, -0.00335393
10.87, -0.00351293
10.88, -0.00368746
10.89, -0.00387533
10.90, -0.00407435
10.91, -0.00431024
10.92, -0.00458537
10.93, -0.00486721
10.94, -0.00512322
10.95, -0.00532091
10.96, -0.00548447
10.97, -0.00564269
10.98, -0.00577755
10.99, -0.00587099
11.00, -0.005905
11.01, -0.00590498
11.02, -0.00590456
11.03, -0.00590374
11.04, -0.00590252
11.05, -0.00590092
11.06, -0.00588357
11.07, -0.00583969
11.08, -0.00577387
11.09, -0.00569069
11.10, -0.0055947
11.11, -0.00542631
11.12, -0.00515579
11.13, -0.00482251
11.14, -0.00446583
11.15, -0.00412508
11.16, -0.00378651
11.17, -0.00342472
11.18, -0.00305458
11.19, -0.00269094
11.20, -0.00234863
11.21, -0.00202672
11.22, -0.00171489
11.23, -0.0014122
11.24, -0.00111769
11.25, -0.000830438
11.26, -0.00054768
11.27, -0.00026975
11.28, 6.45668e-08
11.29, 0.00025848
11.30, 0.000502206
11.31, 0.000729539
11.32, 0.000944051
11.33, 0.00115042
11.34, 0.00135332
11.35, 0.00155743
11.36, 0.00177027
11.37, 0.0019883
11.38, 0.00220041
11.39, 0.00239547
11.40, 0.00256239
11.41, 0.00271268
11.42, 0.00285682
11.43, 0.00298541
11.44, 0.00308907
11.45, 0.0031584
11.46, 0.00320689
11.47, 0.00325005
11.48, 0.00328469
11.49, 0.00330762
11.50, 0.00331564
11.51, 0.00327693
11.52, 0.0031782
11.53, 0.00303922
11.54, 0.00287976
11.55, 0.00271958
11.56, 0.00253803
11.57, 0.00231762
11.58, 0.00207686
11.59, 0.00183426
11.60, 0.00160833
11.61, 0.00140088
11.62, 0.00119976
11.63, 0.00100058
11.64, 0.000798985
11.65, 0.00059059
11.66, 0.000366341
11.67, 0.000129592
11.68, -0.000106578
11.69, -0.00032909
11.70, -0.000524898
11.71, -0.000708251
11.72, -0.000889383
11.73, -0.00105327
11.74, -0.00118489
11.75, -0.00126925
11.76, -0.00132426
11.77, -0.00137262
11.78, -0.00141106
11.79, -0.0014363
11.80, -0.00144508
11.81, -0.00142861
11.82, -0.00138757
11.83, -0.0013317
11.84, -0.00127075
11.85, -0.00121444
11.86, -0.00115117
11.87, -0.00107538
11.88, -0.00100252
11.89, -0.000948014
11.90, -0.000927292
11.91, -0.000936255
11.92, -0.000958118
11.93, -0.000986894
11.94, -0.0010166
11.95, -0.00104124
11.96, -0.00106406
11.97, -0.0010887
11.98, -0.00111115
11.99, -0.00112741
12.00, -0.00113345
12.01, -0.00112684
12.02, -0.00111165
12.03, -0.00109372
12.04, -0.00107886
12.05, -0.00107287
12.06, -0.00107701
12.07, -0.00108815
12.08, -0.00110503
12.09, -0.00112641
12.10, -0.00115107
12.11, -0.00119394
12.12, -0.00126305
12.13, -0.00134946
12.14, -0.00144426
12.15, -0.00153851
12.16, -0.00163287
12.17, -0.00173431
12.18, -0.00184457
12.19, -0.00196539
12.20, -0.00209855
12.21, -0.0022514
12.22, -0.00242601
12.23, -0.00261719
12.24, -0.00281974
12.25, -0.00302849
12.26, -0.00325067
12.27, -0.00349051
12.28, -0.00374035
12.29, -0.00399253
